"order_id","order_estimated_delivery_date","order_delivered_customer_date","days_late"
"203096f03d82e0dffbc41ebc2e2bcfb7","2017-09-28 00:00:00","2017-10-09 22:23:46",11
"fbf9ac61453ac646ce8ad9783d7d0af6","2018-03-12 00:00:00","2018-03-21 22:03:54",9
"6ea2f835b4556291ffdc53fa0b3b95e8","2017-12-21 00:00:00","2017-12-28 18:59:23",7
"66e4624ae69e7dc89bd50222b59f581f","2018-04-02 00:00:00","2018-04-03 13:28:46",1
"a685d016c8a26f71a0bb67821070e398","2017-03-30 00:00:00","2017-04-06 13:37:16",7
"6a0a8bfbbe700284feb0845d95e0867f","2017-12-11 00:00:00","2017-12-28 19:43:00",17
"a5474c0071dd5d1074e12d417078bbd0","2018-08-02 00:00:00","2018-08-03 19:28:47",1
"9d531c565e28c3e0d756192f84d8731f","2017-12-22 00:00:00","2018-01-23 21:38:52",32
"8fc207e94fa91a7649c5a5dab690272a","2017-12-19 00:00:00","2018-01-20 13:42:22",32
"33a3edb84b9df4cb49546859b990ac6d","2018-03-16 00:00:00","2018-03-22 00:03:53",6
"3f849648ffbabb0562c7668f212e3e88","2018-06-06 00:00:00","2018-06-07 13:58:42",1
"f31535f21d145b2345e2bf7f09d62322","2018-03-05 00:00:00","2018-04-23 15:49:34",49
"fb9b2930f4a30f96c7cc98eaaa85e5f0","2017-12-14 00:00:00","2017-12-17 10:47:53",3
"4906eeadde5f70b308c20c4a8f20be02","2018-01-03 00:00:00","2018-01-09 18:04:58",6
"16c24987724018f73b746aacfbb5f8e8","2017-06-09 00:00:00","2017-06-16 16:52:02",7
"f11e9516ca2b6091b64f2e2ea0ebebb3","2018-03-19 00:00:00","2018-03-28 22:04:44",9
"b60b53ad0bb7dacacf2989fe27ad567a","2017-05-18 00:00:00","2017-05-23 13:12:27",5
"da8be3bb62e9bf01e2e1a3bfd74ebd1a","2017-05-04 00:00:00","2017-05-08 10:52:06",4
"690199d6a2c51ff57c6b392d7680cbfd","2018-04-11 00:00:00","2018-05-14 12:28:56",33
"7b58fca3faf09217a36d5febee5739a5","2018-03-28 00:00:00","2018-04-12 21:04:01",15
"f30607daae66843552e00843c6de88ef","2018-03-27 00:00:00","2018-04-12 11:36:51",16
"4f7ce3efe568a5e57290a9fa3e45b1f5","2018-02-21 00:00:00","2018-03-08 11:15:57",15
"580c882a5805c78546ea65ec6d3690e4","2018-03-02 00:00:00","2018-03-06 16:59:05",4
"9472d3c8a0ad463cbfc89897334431da","2017-12-12 00:00:00","2017-12-21 14:22:54",9
"0fc34e566d3273325c404c113f4a8b2a","2017-11-27 00:00:00","2017-12-01 18:06:48",4
"9d513821c0477231fc7c1bfd684d13d8","2017-03-17 00:00:00","2017-03-21 10:35:41",4
"18d686f1bb1270182c646fe337459d79","2018-03-07 00:00:00","2018-03-11 19:28:52",4
"eafef0e6c44f121531569a69a318c3b3","2017-12-27 00:00:00","2018-01-09 16:32:21",13
"7753606fb1d0067848f8a1a7ae5abefa","2018-05-16 00:00:00","2018-05-23 17:51:15",7
"3606d0126c19d4197f835572f5162c20","2018-02-20 00:00:00","2018-02-22 23:49:20",2
"4d2d8a4224215f680cc5221011347401","2018-04-02 00:00:00","2018-04-05 17:12:42",3
"91bcade2288597459e1dbce52d6d0ef9","2018-02-02 00:00:00","2018-02-09 00:44:50",7
"d52140bee663636aa4f6057e50bc06a3","2018-03-27 00:00:00","2018-04-16 16:24:45",20
"cfa4fa27b417971e86d8127cb688712f","2018-08-22 00:00:00","2018-08-29 01:41:41",7
"118045506e1c1dda060171af43fe11b4","2018-04-04 00:00:00","2018-04-11 12:53:50",7
"b7ed5b357d48b6c8f588c5cf0d7ddf5d","2018-04-02 00:00:00","2018-04-17 17:37:54",15
"d30680568af2e9f0aeba3420292df26d","2017-10-09 00:00:00","2017-10-22 14:16:51",13
"cafc9b2f7d35ec42bdb74347cc6e8a70","2018-02-16 00:00:00","2018-04-04 17:12:36",47
"376a342d70faa7a733b871acc701def8","2018-01-05 00:00:00","2018-01-20 01:36:58",15
"6f36c999f8ef8d1a3a999079a5b637aa","2018-01-11 00:00:00","2018-01-12 22:04:29",1
"8a0b2bc5c7a1c524635f4de8bae9dffe","2017-12-22 00:00:00","2018-01-20 15:26:28",29
"234c056c50619f48da64f731c48242b4","2018-08-23 00:00:00","2018-09-01 18:14:42",9
"7b2f3756c235e93b2ad6330c54805401","2018-04-03 00:00:00","2018-04-09 22:08:51",6
"8ad3f1d0f96992e43566c4c82c9f6c58","2018-08-03 00:00:00","2018-08-14 04:04:40",11
"58b198357d2b68044f885a370a585ff3","2017-05-08 00:00:00","2017-05-10 12:48:08",2
"4190ab61a7fced69f3ee84d1da1120cc","2018-01-11 00:00:00","2018-01-31 19:08:40",20
"a06c43ed81f5c604287461f4d21949ce","2017-11-17 00:00:00","2017-11-23 21:48:41",6
"f9f15e02ed74cf8a21b8266a55498942","2017-11-13 00:00:00","2017-11-17 23:59:11",4
"64ea4c51ad1203229ba011693f35da54","2018-02-22 00:00:00","2018-03-02 22:15:36",8
"aa2e81559d88cca16ac122e7627078c8","2017-05-02 00:00:00","2017-05-05 14:56:03",3
"bd3f8b3f4ff1469c0709218f7fde9fe8","2017-11-27 00:00:00","2017-11-29 19:11:53",2
"88c588c116fd06fb8e48dd83af88ec4a","2017-12-12 00:00:00","2017-12-22 17:44:27",10
"b323a1bf3949211f3d9fbc43772534e6","2018-05-30 00:00:00","2018-06-09 19:36:43",10
"f644267f332fbcb9fe143fbb7478441c","2017-12-19 00:00:00","2018-01-04 20:26:46",16
"cc06813c8d9909633f390ed9b5df999f","2018-05-09 00:00:00","2018-05-17 21:43:34",8
"7297f6bfea2a33ef176cff30f467aa41","2018-05-10 00:00:00","2018-05-17 22:28:30",7
"1ac605c3c8e2ee53279c7b0bd52c6aec","2018-03-28 00:00:00","2018-04-06 17:45:29",9
"80b0f4fc350532f6e0ce9aa81ccde91c","2018-03-19 00:00:00","2018-04-05 21:37:26",17
"4edca0186e467f58fe99ab648f604ce8","2018-04-16 00:00:00","2018-04-23 10:41:24",7
"8b37f436aea079bd73bbcbe103d14a0b","2018-02-16 00:00:00","2018-02-17 19:19:00",1
"efe9bd98be3cb5cb5c87e7ca27abe613","2018-02-15 00:00:00","2018-02-24 13:12:53",9
"08763574782690116475ea62ffdecadb","2017-12-26 00:00:00","2018-01-03 19:24:57",8
"6c1d10d32b895709c06d162678e6bac6","2018-06-01 00:00:00","2018-06-02 18:12:20",1
"afffe744c625af23449137b8f832e630","2018-03-23 00:00:00","2018-03-28 17:23:42",5
"5e8d0f2f1e06e715aee3eefe4c175e52","2017-12-19 00:00:00","2017-12-26 17:38:50",7
"bd74c36a843f8560d4b4b2a902dfb22e","2018-03-26 00:00:00","2018-04-03 19:28:37",8
"38171cba31c7211ce21559574998ffdd","2017-12-19 00:00:00","2017-12-22 21:09:18",3
"45b0a671da62d1c868294b22b4837dca","2018-02-19 00:00:00","2018-03-18 13:58:24",27
"5e4c365dd3cf7769a88981f408d069d3","2017-12-12 00:00:00","2017-12-23 16:13:34",11
"4b80b55b32a3549ec05578e46a0f4021","2018-08-20 00:00:00","2018-08-22 22:04:10",2
"c46deef64dc8913af348b596ff4fc40d","2017-12-28 00:00:00","2018-01-04 11:25:01",7
"8187896518689722d7c05bfbaeed0933","2017-12-22 00:00:00","2017-12-26 19:22:50",4
"4aae1a10a22651fe5b76379eb4b34d12","2018-06-04 00:00:00","2018-06-05 17:08:30",1
"42c99d4e378b852657e71d810ef1858c","2017-12-21 00:00:00","2017-12-22 00:14:21",1
"0ef89e47a5078a9e54a080d5fa8c9109","2018-03-28 00:00:00","2018-04-09 22:22:43",12
"af9ce0d4f36308fcf461b3f497c24bcb","2018-03-27 00:00:00","2018-03-28 21:12:29",1
"e82a48563b753b7df504aba7e01f9faf","2018-03-02 00:00:00","2018-03-05 22:37:41",3
"81f2ee7669eee05b13906d24d43ebc69","2018-04-13 00:00:00","2018-06-01 19:56:25",49
"7dbad9087d339419eb06d86950842742","2018-04-12 00:00:00","2018-04-19 00:44:44",7
"43f312594026fc6c67ccf619afe600d1","2018-03-21 00:00:00","2018-04-10 11:35:49",20
"ca621c614abfc6d64f4a093ade1249b9","2017-09-12 00:00:00","2017-09-19 17:53:50",7
"d010facca14d57e997bf54e52f0ea03b","2018-03-29 00:00:00","2018-04-04 19:16:39",6
"fb797aee19d1e438385938cd482027bb","2017-09-01 00:00:00","2017-09-05 18:53:02",4
"b574f97b093ad4bc022f420344327e12","2018-03-23 00:00:00","2018-03-29 20:45:37",6
"9be42eec91e05104d84b81e71a9e6b81","2017-11-07 00:00:00","2017-11-08 00:14:44",1
"2c9bc10b715272770d51948b929485f7","2018-05-29 00:00:00","2018-06-07 20:03:26",9
"43f9a3d3e9d95525bfce717e31f72a56","2018-07-30 00:00:00","2018-08-04 16:15:46",5
"fbf0dfaa84a26a3cbddf314c3362316c","2017-12-15 00:00:00","2017-12-18 18:46:39",3
"afa2c425be2efd14c19b4a0aa62f9b59","2018-03-22 00:00:00","2018-04-06 19:24:59",15
"774b8c52e2dda4cae042a9175258ab1b","2017-12-21 00:00:00","2017-12-22 18:32:29",1
"a184881e0110ee6bba45e5ba8287c638","2017-11-03 00:00:00","2017-11-14 16:04:51",11
"b5585a71d72133e35079e240c76065d8","2017-12-12 00:00:00","2017-12-18 13:51:24",6
"9d5dfd77cf32bd319a504f77a137491b","2018-04-06 00:00:00","2018-04-13 22:58:22",7
"dfa7d326a489fe0c01a652351a552b43","2017-05-03 00:00:00","2017-05-10 09:25:44",7
