"responsalibidade_atraso","avg_review_score","avg_freight_value","avg_product_price","total_pedidos"
"Atraso do Vendedo (POSTAGEM)",2.25,22.1,150.67,1767
"Atraso da Transportadora (LOGISTICA)",2.26,22.89,128.06,4614
